profile,actor,DD,DPS
apl_sheet226_pw_na_1,vf_sync_hv_trink_vf,1395614,4803,
apl_sheet226_pw_na_2,Base,1641365,5611,
apl_sheet226_pw_na_2,Base_am,1593479,5463,
apl_sheet226_pw_na_2,on_cd_am,1594167,5465,
apl_sheet226_pw_na_2,on_cd_am_trink_pi,1593284,5463,
apl_sheet226_pw_na_2,on_cd_am_trink_pi_or_vf,1593732,5464,
apl_sheet226_pw_na_2,on_cd_am_trink_vf,1594474,5467,
apl_sheet226_pw_na_2,on_cd_hv,1642002,5613,
apl_sheet226_pw_na_2,on_cd_hv_trink_pi,1641589,5611,
apl_sheet226_pw_na_2,on_cd_hv_trink_pi_or_vf,1641534,5612,
apl_sheet226_pw_na_2,on_cd_hv_trink_vf,1641599,5611,
apl_sheet226_pw_na_2,pi_sync_am_trink_pi,1593396,5463,
apl_sheet226_pw_na_2,pi_sync_am_trink_pi_or_vf,1593759,5464,
apl_sheet226_pw_na_2,pi_sync_am_trink_vf,1593617,5463,
apl_sheet226_pw_na_2,pi_sync_hv_trink_pi,1641956,5612,
apl_sheet226_pw_na_2,pi_sync_hv_trink_pi_or_vf,1641608,5611,
apl_sheet226_pw_na_2,pi_sync_hv_trink_vf,1641660,5612,
apl_sheet226_pw_na_2,vf_sync_am,1593622,5464,
apl_sheet226_pw_na_2,vf_sync_am_trink_pi,1593621,5464,
apl_sheet226_pw_na_2,vf_sync_am_trink_pi_or_vf,1593472,5464,
apl_sheet226_pw_na_2,vf_sync_am_trink_vf,1594436,5466,
apl_sheet226_pw_na_2,vf_sync_hv,1593933,5465,
apl_sheet226_pw_na_2,vf_sync_hv_trink_pi,1593576,5463,
apl_sheet226_pw_na_2,vf_sync_hv_trink_pi_or_vf,1593762,5464,
apl_sheet226_pw_na_2,vf_sync_hv_trink_vf,1593688,5464,
apl_sheet226_pw_sa_1,Base,1430177,4906,
apl_sheet226_pw_sa_1,Base_am,1395322,4803,
apl_sheet226_pw_sa_1,on_cd_am,1396090,4805,
apl_sheet226_pw_sa_1,on_cd_am_trink_pi,1395442,4803,
apl_sheet226_pw_sa_1,on_cd_am_trink_pi_or_vf,1395606,4804,
apl_sheet226_pw_sa_1,on_cd_am_trink_vf,1395614,4804,
apl_sheet226_pw_sa_1,on_cd_hv,1429534,4905,
apl_sheet226_pw_sa_1,on_cd_hv_trink_pi,1429905,4906,
apl_sheet226_pw_sa_1,on_cd_hv_trink_pi_or_vf,1429398,4905,
apl_sheet226_pw_sa_1,on_cd_hv_trink_vf,1429512,4904,
apl_sheet226_pw_sa_1,pi_sync_am_trink_pi,1395143,4802,
apl_sheet226_pw_sa_1,pi_sync_am_trink_pi_or_vf,1395905,4804,
apl_sheet226_pw_sa_1,pi_sync_am_trink_vf,1395824,4805,
apl_sheet226_pw_sa_1,pi_sync_hv_trink_pi,1429697,4905,
apl_sheet226_pw_sa_1,pi_sync_hv_trink_pi_or_vf,1430002,4906,
apl_sheet226_pw_sa_1,pi_sync_hv_trink_vf,1430342,4908,
apl_sheet226_pw_sa_1,vf_sync_am,1395508,4804,
apl_sheet226_pw_sa_1,vf_sync_am_trink_pi,1395825,4805,
apl_sheet226_pw_sa_1,vf_sync_am_trink_pi_or_vf,1395667,4804,
apl_sheet226_pw_sa_1,vf_sync_am_trink_vf,1395292,4803,
apl_sheet226_pw_sa_1,vf_sync_hv,1395624,4804,
apl_sheet226_pw_sa_1,vf_sync_hv_trink_pi,1395385,4803,
apl_sheet226_pw_sa_1,vf_sync_hv_trink_pi_or_vf,1395777,4805,
apl_sheet226_pw_sa_1,vf_sync_hv_trink_vf,1395914,4805,
apl_sheet226_pw_sa_2,Base,1641777,5612,
apl_sheet226_pw_sa_2,Base_am,1593581,5465,
apl_sheet226_pw_sa_2,on_cd_am,1593914,5464,
apl_sheet226_pw_sa_2,on_cd_am_trink_pi,1594304,5466,
apl_sheet226_pw_sa_2,on_cd_am_trink_pi_or_vf,1594359,5466,
apl_sheet226_pw_sa_2,on_cd_am_trink_vf,1594054,5465,
apl_sheet226_pw_sa_2,on_cd_hv,1642263,5614,
apl_sheet226_pw_sa_2,on_cd_hv_trink_pi,1641877,5612,
apl_sheet226_pw_sa_2,on_cd_hv_trink_pi_or_vf,1641178,5610,
apl_sheet226_pw_sa_2,on_cd_hv_trink_vf,1641572,5611,
apl_sheet226_pw_sa_2,pi_sync_am_trink_pi,1594581,5467,
apl_sheet226_pw_sa_2,pi_sync_am_trink_pi_or_vf,1593608,5464,
apl_sheet226_pw_sa_2,pi_sync_am_trink_vf,1594288,5466,
apl_sheet226_pw_sa_2,pi_sync_hv_trink_pi,1641186,5610,
apl_sheet226_pw_sa_2,pi_sync_hv_trink_pi_or_vf,1642111,5613,
apl_sheet226_pw_sa_2,pi_sync_hv_trink_vf,1641793,5612,
apl_sheet226_pw_sa_2,vf_sync_am,1594007,5465,
apl_sheet226_pw_sa_2,vf_sync_am_trink_pi,1593610,5463,
apl_sheet226_pw_sa_2,vf_sync_am_trink_pi_or_vf,1594118,5465,
apl_sheet226_pw_sa_2,vf_sync_am_trink_vf,1593649,5464,
apl_sheet226_pw_sa_2,vf_sync_hv,1594040,5466,
apl_sheet226_pw_sa_2,vf_sync_hv_trink_pi,1593725,5464,
apl_sheet226_pw_sa_2,vf_sync_hv_trink_pi_or_vf,1594113,5465,
apl_sheet226_pw_sa_2,vf_sync_hv_trink_vf,1593832,5464,

